id,tooltip,image
343383572805058560,true shiggy fan,https://cdn.discordapp.com/emojis/1024751291504791654.gif?size=256
79427255851298816,bandit <3,https://cdn.discordapp.com/attachments/1033680203433660458/1042578966432710677/angelCChellokitten.png
1042520635626225704,bandit <3,https://cdn.discordapp.com/attachments/1033680203433660458/1042578966432710677/angelCChellokitten.png
280835732728184843,Mewdeko Owner,https://cdn.discordapp.com/attachments/1042630321901936661/1042634039577808906/Mewdeko.png
306692821358739456,Dutch Femboy,https://cdn.discordapp.com/attachments/1042716109087977492/1042750759336427611/a_anime_blush_cute_kawaii_uwu.png
545581357812678656,true shiggy fan,https://cdn.discordapp.com/emojis/1024751291504791654.gif?size=256
927695547421310996,Candyman Van,https://cdn.discordapp.com/attachments/1042974456781488218/1042978511369011230/image.png
103720027483545600,Vendys Money Mule,https://cdn.discordapp.com/attachments/1043165773797003306/1043174833715941457/emoji_162.png
146021713157554177,Prestige 16,https://cdn.discordapp.com/attachments/1026504914131759104/1044108076204179548/ui_icon_ranks_prestige_16_large.png
1024126990413996132,Discord Infinity: https://discord.gg/qqVqsBKMmJ,https://cdn.discordapp.com/attachments/961739997826940988/1044720692194705408/resizes.png
317980488138489866,Rhianna,https://cdn.discordapp.com/attachments/1048193960708931644/1048212966975225936/757621965421936801.gif
329498023103037440,lilly,https://cdn.discordapp.com/emojis/967860827346599986.webp
720406954563862640,cnuy,https://cdn.discordapp.com/attachments/786020148687536158/1049507106878922822/syaa.png
657710060088328222,hatsune miku says trans rights!,https://cdn.discordapp.com/attachments/1049572516240298025/1056004981016236182/347163151156117505.webp
455428041586376729,byte,https://cdn.discordapp.com/attachments/1050196595431448729/1050199116979896410/byte.png
149188460996067328,coraline :3,https://cdn.discordapp.com/attachments/1045771491574284338/1050995116820664320/afd7d51a34403d4dc8f49a6fcbc094a6.png
96269247411400704,Sakura,https://cdn.discordapp.com/emojis/917812506850910228.gif?size=256
287555395151593473,java lover,https://cdn.discordapp.com/emojis/1045735735757647943.gif
821472922140803112,Real Discord Bughunter,https://cdn.discordapp.com/attachments/1026515880080842772/1053384117259087892/QU8o95h.png
253554702858452992,Cuddle lover,https://cdn.discordapp.com/emojis/724092629448523827.gif
316703271274151936,Capybara Enjoyer,https://cdn.discordapp.com/attachments/1066921081585283152/1066923401123463208/Capy_Twemoji.png
291672665301975040,hololive enjoyer,https://cdn.discordapp.com/emojis/903938638197424128.gif
208036931676798977,fubuki sex,https://cdn.discordapp.com/attachments/1072994865404706876/1073124108893700167/fubuki_sex.gif
145224646868860928,$W4G,https://cdn.discordapp.com/attachments/1015063227299811479/1075596787311710218/167651265517061088.png
413283368164261899,Cutie <3,https://cdn.discordapp.com/attachments/1079094964220330055/1079098671217520790/Ch_van_img_03.png
884534013241462806,true shiggy fan,https://cdn.discordapp.com/emojis/1024751291504791654.gif?size=256
211103701652209664,The Big Cheese,https://media.discordapp.net/attachments/1086209251485155449/1086303206260351036/The_Big_Cheese.gif
448547847617642496,how to get bitches,https://cdn.discordapp.com/attachments/1086698706474110996/1086710695573323897/2777-stickman-vibe-dance.gif
966494517664550932,💙💚💛🧡❤️💜💙💚💛🧡❤️💜💙💚💛🧡❤️💜💙💚💛🧡❤️💜,https://cdn.discordapp.com/attachments/1087485894870708225/1087554206170366073/1054831003866247228.gif
250797109022818305,/reg/nal,https://cdn.discordapp.com/attachments/1044780504672636999/1087717992072237066/pfp.png
305428775297089550,Designer,https://cdn.discordapp.com/attachments/1087726068502380544/1087741593345331281/designer.png
681885446455689216,Vencord Supporter,https://cdn.discordapp.com/attachments/1087479668501913731/1087634237768876032/red_heart.png
434012913200529420,true shiggy fan,https://cdn.discordapp.com/emojis/1024751291504791654.gif?size=256
512028479701909504,Use VSCode,https://cdn.discordapp.com/attachments/1088049977143611434/1088150024489271296/20GVdTR.png
478711436202475520,Best singer in room 1,https://cdn.discordapp.com/attachments/1088010781901197332/1088228458502553670/latest.png
